vehicle_id,lane,frame,timestamp_sec
4449,1,4838,161.27
4450,2,4840,161.33
4451,2,4841,161.37
4455,2,4847,161.57
4456,2,4848,161.60
4457,1,4850,161.67
4459,1,4851,161.70
4462,2,4857,161.90
4463,1,4858,161.93
4435,2,4862,162.07
4471,2,4863,162.10
4485,2,4877,162.57
4496,1,4884,162.80
4496,2,4885,162.83
4376,1,4900,163.33
4523,2,4908,163.60
4529,1,4918,163.93
4533,1,4920,164.00
4534,2,4920,164.00
4529,2,4924,164.13
4538,2,4926,164.20
4552,1,4934,164.47
4553,1,4934,164.47
4563,2,4941,164.70
4567,2,4945,164.83
4578,2,4957,165.23
4583,2,4961,165.37
4591,2,4970,165.67
4596,2,4972,165.73
4603,1,4980,166.00
4618,1,5010,167.00
4621,2,5012,167.07
4624,1,5016,167.20
4552,2,5016,167.20
4640,2,5028,167.60
4646,1,5040,168.00
4672,1,5055,168.50
4677,2,5058,168.60
4678,2,5058,168.60
4682,2,5059,168.63
4690,1,5065,168.83
4692,3,5066,168.87
4693,2,5068,168.93
4706,2,5078,169.27
4713,2,5082,169.40
4715,2,5084,169.47
4718,2,5087,169.57
4720,1,5089,169.63
4721,2,5090,169.67
4732,2,5101,170.03
4733,2,5102,170.07
4738,2,5104,170.13
4741,2,5107,170.23
4749,2,5112,170.40
4752,1,5116,170.53
4760,1,5121,170.70
4762,1,5122,170.73
4732,1,5123,170.77
4791,2,5141,171.37
4813,1,5150,171.67
4814,2,5151,171.70
4817,1,5157,171.90
4818,2,5158,171.93
4822,1,5162,172.07
4831,2,5172,172.40
4832,2,5172,172.40
4836,1,5177,172.57
4837,2,5177,172.57
4840,2,5180,172.67
4842,2,5183,172.77
4762,2,5184,172.80
4863,1,5192,173.07
4868,1,5195,173.17
4871,2,5196,173.20
4878,1,5203,173.43
4879,1,5203,173.43
4881,2,5204,173.47
4884,1,5207,173.57
4887,2,5214,173.80
4896,1,5221,174.03
4897,2,5222,174.07
4693,1,5226,174.20
4908,1,5236,174.53
4909,1,5237,174.57
4919,1,5242,174.73
4920,2,5242,174.73
4921,2,5243,174.77
4933,1,5252,175.07
4944,1,5256,175.20
4947,1,5257,175.23
4949,2,5258,175.27
4953,1,5260,175.33
4961,2,5265,175.50
4963,1,5266,175.53
4964,1,5267,175.57
4981,1,5283,176.10
4988,2,5286,176.20
4992,1,5287,176.23
5012,1,5298,176.60
5013,1,5299,176.63
5022,1,5306,176.87
5023,1,5307,176.90
5025,2,5309,176.97
5037,1,5320,177.33
5049,1,5326,177.53
5053,1,5328,177.60
5059,1,5330,177.67
5065,1,5337,177.90
5066,1,5340,178.00
5073,2,5346,178.20
5074,1,5346,178.20
5080,1,5352,178.40
5095,3,5379,179.30
5103,2,5384,179.47
5106,2,5385,179.50
5121,2,5390,179.67
5053,2,5390,179.67
5122,1,5394,179.80
5140,1,5403,180.10
5142,1,5404,180.13
5144,2,5404,180.13
5153,2,5409,180.30
5164,2,5420,180.67
5178,1,5427,180.90
5184,2,5430,181.00
5196,2,5435,181.17
5198,2,5437,181.23
5201,1,5438,181.27
5205,1,5441,181.37
5206,2,5442,181.40
5213,2,5448,181.60
5229,2,5456,181.87
5230,2,5457,181.90
5236,2,5461,182.03
5238,1,5462,182.07
5246,2,5469,182.30
5253,2,5477,182.57
5258,2,5488,182.93
5273,1,5507,183.57
5287,1,5517,183.90
5293,2,5524,184.13
5304,2,5529,184.30
5305,1,5529,184.30
5313,2,5535,184.50
5315,2,5536,184.53
5316,1,5536,184.53
5318,2,5537,184.57
5319,2,5540,184.67
5322,2,5545,184.83
4920,1,5546,184.87
5322,1,5546,184.87
5330,1,5553,185.10
5337,1,5558,185.27
5352,1,5571,185.70
5357,1,5577,185.90
5258,1,5579,185.97
5379,1,5599,186.63
5385,2,5602,186.73
5387,2,5602,186.73
5388,1,5606,186.87
5398,2,5614,187.13
5436,1,5639,187.97
5437,1,5643,188.10
5442,2,5645,188.17
5455,2,5657,188.57
5462,2,5659,188.63
5471,1,5672,189.07
5479,3,5679,189.30
5482,2,5681,189.37
5486,2,5684,189.47
5492,2,5702,190.07
5494,2,5703,190.10
5495,1,5703,190.10
5502,2,5712,190.40
5508,2,5716,190.53
5523,2,5721,190.70
5538,2,5736,191.20
5540,1,5737,191.23
5549,2,5747,191.57
5569,1,5756,191.87
5571,2,5757,191.90
5573,1,5760,192.00
5587,2,5764,192.13
5591,1,5769,192.30
5597,2,5772,192.40
5600,2,5775,192.50
5602,1,5775,192.50
5385,1,5779,192.63
5610,2,5780,192.67
5613,1,5782,192.73
5615,2,5783,192.77
5618,1,5785,192.83
5624,2,5788,192.93
5634,1,5798,193.27
5635,1,5799,193.30
5636,2,5801,193.37
5637,1,5801,193.37
5640,1,5804,193.47
5641,2,5805,193.50
5644,2,5809,193.63
5659,2,5820,194.00
5661,3,5821,194.03
5662,1,5821,194.03
5664,2,5822,194.07
5669,2,5829,194.30
5672,2,5831,194.37
5674,2,5834,194.47
5677,2,5836,194.53
5678,3,5837,194.57
5684,2,5841,194.70
5685,1,5841,194.70
5694,1,5844,194.80
5700,2,5845,194.83
5703,1,5846,194.87
5711,1,5849,194.97
5720,2,5851,195.03
5735,1,5856,195.20
5738,2,5858,195.27
5742,1,5860,195.33
5745,2,5860,195.33
5755,2,5867,195.57
5387,1,5872,195.73
5766,2,5877,195.90
5768,3,5878,195.93
5778,2,5880,196.00
5787,1,5885,196.17
5803,2,5896,196.53
5817,2,5904,196.80
5821,1,5906,196.87
5827,2,5911,197.03
5831,2,5918,197.27
5833,3,5919,197.30
5835,2,5921,197.37
5843,3,5927,197.57
5844,2,5927,197.57
5847,1,5931,197.70
5624,1,5935,197.83
5884,1,5946,198.20
5896,2,5953,198.43
5909,1,5965,198.83
5912,1,5966,198.87
5916,2,5967,198.90
5937,2,5979,199.30
5972,2,5995,199.83
5978,1,6003,200.10
5803,1,6005,200.17
5983,2,6010,200.33
5986,2,6011,200.37
5987,2,6011,200.37
5991,1,6014,200.47
5996,2,6025,200.83
6004,2,6031,201.03
6011,1,6037,201.23
6024,1,6048,201.60
5835,1,6049,201.63
6030,2,6053,201.77
6041,1,6060,202.00
6056,1,6071,202.37
6077,1,6080,202.67
6085,1,6084,202.80
6088,2,6097,203.23
6111,1,6115,203.83
5991,2,6137,204.57
5983,1,6145,204.83
6139,2,6145,204.83
6147,1,6154,205.13
6174,2,6167,205.57
6182,1,6171,205.70
6186,1,6182,206.07
6195,2,6198,206.60
6209,2,6205,206.83
6213,2,6210,207.00
6216,2,6215,207.17
6231,1,6225,207.50
5986,1,6227,207.57
6243,2,6233,207.77
6279,2,6250,208.33
6298,2,6262,208.73
6304,2,6264,208.80
6305,1,6265,208.83
6309,1,6267,208.90
6316,2,6271,209.03
6318,2,6272,209.07
6329,1,6279,209.30
6332,2,6280,209.33
6360,1,6291,209.70
6371,1,6295,209.83
6371,2,6297,209.90
6378,1,6300,210.00
6391,3,6312,210.40
6393,1,6320,210.67
6298,1,6321,210.70
6397,1,6321,210.70
